price,details,descr,link
$ 530.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112705
$ 1.195.000.000,5 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112706
$ 235.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192112717
$ 2.800.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192112734
$ 750.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192112729
$ 217.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110964
$ 235.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192112766
$ 1.480.000.000,11 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192105260
$ 620.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106063
$ 1.300.000.000,13 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192110355
$ 220.000.000,50 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192110362
$ 390.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110460
$ 960.000.000,113 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192107922
$ 3.695.000.060,2 Baños,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192107885
$ 245.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192107923
$ 215.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108446
$ 165.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192108478
$ 780.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107482
$ 580.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107136
$ 380.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107139
$ 5.900.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192107126
$ 1.680.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107164
$ 270.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192105508
$ 480.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109228
$ 695.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109063
$ 240.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192110200
$ 290.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192110334
$ 760.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108172
$ 395.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192110342
$ 110.000.000,1 Ambiente,Local en Venta,https://www.fincaraiz.com.co/local-en-venta/192110379
$ 3.850.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110375
$ 800.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110337
$ 620.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110406
$ 890.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107224
$ 4.500.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107357
$ 780.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107482
$ 960.000.000,113 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192107922
$ 2.100.000.000,6 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192107406
$ 3.695.000.060,2 Baños,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192107885
$ 245.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192107923
$ 430.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108245
$ 204.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107684
$ 460.000.000,43 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108303
$ 1.610.000.000,149 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108272
$ 935.000.000,102 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108318
$ 420.000.000,7 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192106900
$ 750.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108206
$ 590.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192108374
$ 980.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192108399
$ 1.362.000.000,127 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108248
$ 700.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108147
$ 534.000.000,2 Baños,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192107749
$ 1.345.000.000,134 m²,Oficina en Venta,https://www.fincaraiz.com.co/oficina-en-venta/192108228
$ 215.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108446
$ 165.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192108478
$ 185.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192108526
$ 530.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108615
$ 205.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108641
$ 149.898.000.000,19222 m²,Edificio en Venta,https://www.fincaraiz.com.co/edificio-en-venta/192108699
$ 320.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108379
$ 295.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108304
$ 448.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106092
$ 679.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106503
$ 520.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106917
$ 400.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107086
$ 5.900.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192107126
$ 1.680.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107164
$ 580.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107136
$ 380.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192107139
$ 160.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108784
$ 170.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108879
$ 1.200.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108984
$ 480.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109228
$ 754.600.000,7 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192109216
$ 3.200.000.000,2 Baños,Local en Venta,https://www.fincaraiz.com.co/local-en-venta/192109050
$ 320.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109135
$ 695.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109063
$ 147.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109090
$ 1.100.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108396
$ 450.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192109182
$ 1.000.000.000,5 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192108487
$ 2.800.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109888
$ 620.000.000,1 Ambiente,Local en Venta,https://www.fincaraiz.com.co/local-en-venta/192109896
$ 700.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109903
$ 210.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109746
$ 250.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192109865
$ 350.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192109873
$ 777.000.000,5 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109906
$ 1.700.000.000,7 Baños,Bodega en Venta,https://www.fincaraiz.com.co/bodega-en-venta/192109935
$ 1.350.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192109939
$ 585.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109275
$ 430.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109978
$ 1.100.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110116
$ 620.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110136
$ 1.450.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110118
$ 1.250.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192110141
$ 330.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110169
$ 2.700.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192110177
$ 770.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109078
$ 850.000.000,4 Habs.,Edificio en Venta,https://www.fincaraiz.com.co/edificio-en-venta/192109435
$ 780.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192109364
$ 470.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192109251
$ 470.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109660
$ 550.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109674
$ 1.400.000.000,4 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108065
$ 700.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109687
$ 235.000.000,1 Habs.,Apartaestudio en Venta,https://www.fincaraiz.com.co/apartaestudio-en-venta/192109611
$ 650.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109716
$ 1.150.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192110111
$ 500.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110195
$ 1.100.000.000,9 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192110165
$ 1.350.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192110205
$ 2.500.000.000,6 Habs.,Casa Campestre en Venta,https://www.fincaraiz.com.co/casa-campestre-en-venta/192110665
$ 695.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110897
$ 3.500.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192110360
$ 620.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106063
$ 250.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192105659
$ 1.500.000.000,3 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192105599
$ 420.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110314
$ 750.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108797
$ 161.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192105670
$ 309.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108822
$ 190.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106115
$ 260.000.000,1 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192105767
$ 205.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192108080
$ 830.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109163
$ 760.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110085
$ 360.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192110447
$ 937.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106832
$ 1.900.000.000,3 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192106845
$ 355.900.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192109152
$ 850.000.000,2 Habs.,Apartamento en Venta,https://www.fincaraiz.com.co/apartamento-en-venta/192105813
$ 1.150.000.000,4 Habs.,Casa en Venta,https://www.fincaraiz.com.co/casa-en-venta/192109308
